GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",93240759,95375126,99475905,105167044,112682960,119541323,120890684,128729782,118106645,114095994,120570847,127361099,126546666,130434606,136879027,139087135,143835956,146813931
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",7779229,7920830,8246137,8625042,9044703,9437855,9778228,9818298,9917449,10304601,10420362,10717818,10553204,10723245,11184783,11437411,11937304,12195054
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",20132208,20611538,21225646,22192901,22539206,22908459,22830904,23105676,22189724,22715077,23654092,24411174,24490606,24765633,25383964,26032450,26693082,27374748
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3644309,3765459,3937181,4091696,4146014,4443715,4902169,5326286,4647017,4687265,4874984,5076898,4998407,5030349,5231683,5074488,5193647,5236630
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",514981994,517294621,523312090,536662096,548632398,557386178,564120391,548672390,530830225,539704813,547499300,561588192,566499499,576000060,589049966,594060750,600421994,611591128
17020,"Chico, CA (Metropolitan Statistical Area)",6521503,7069092,7448987,7645121,7860522,8346498,8255625,7944690,7929761,7918928,7916467,7682299,8138843,7944356,8271641,8685754,9002731,9219915
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",101285472,104341674,106058078,107597310,109962093,109335781,110020267,110334271,105709972,109064346,112511569,112553108,113228898,115447868,117808842,120668471,122867631,124948052
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",7656733,8236041,8486459,9164870,9992507,10620290,10348002,10578892,10595593,10878472,11475027,11570821,11352036,11342069,11486571,11139200,11147716,11287464
17420,"Cleveland, TN (Metropolitan Statistical Area)",3302708,3454033,3459635,3675544,3683042,3735269,3719493,3840316,3750508,3889364,3940930,4335074,4467150,4451763,4714212,4578465,4671982,4700727
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",105546960,107849789,110352564,112858462,115462349,113473596,113580402,113955966,106092046,107166841,109437899,109967066,110283260,114110316,115773490,115847427,117136194,119327107
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",3453369,3541429,3683443,3909907,4285608,4552609,4772823,4703481,4398601,4552849,4384513,4419327,4626296,4711414,4856952,5124128,5301432,5529281
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",7042068,7345210,7583179,7699347,8314345,9112406,9983981,10444388,11268706,10649757,10456815,10538437,11257526,11967573,12557193,12400326,12775982,13169469
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",24178287,24377471,24689513,25165423,26367812,26942678,27625050,27800293,27865691,28827832,29458070,29536184,29887635,30259610,31033614,31729384,33146193,34207716
17860,"Columbia, MO (Metropolitan Statistical Area)",6684959,6796031,7000563,7198168,7359500,7502219,7495563,7631307,7676049,7835771,7934268,8107003,8331951,8364782,8507153,8599508,8675553,8828039
17900,"Columbia, SC (Metropolitan Statistical Area)",28107496,28443551,29349175,30444328,31165892,32269785,33179297,33507778,32633898,32732266,32809068,32622967,33562872,34854216,36090522,37114520,38014141,38443541
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",11208283,11499817,11482216,11710837,12004662,12385341,12746264,12798263,12878718,13143062,13375212,13471688,13180190,13165787,13278187,12998780,13232794,13466516
18020,"Columbus, IN (Metropolitan Statistical Area)",3515083,3437741,3597936,3800280,3986858,4399441,4884391,5174024,4303546,5208278,5382381,5824681,6024392,5847599,5804117,5827358,6063299,6363058
18140,"Columbus, OH (Metropolitan Statistical Area)",86442566,87622244,89607777,92396749,95258648,93592348,94430052,94161460,90978156,93662870,97306672,100403337,102973266,106185217,108502678,109753062,112512486,114675302
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",17683190,17628386,18361303,19927640,18834175,19238572,20608682,19639121,19403763,20436017,21014505,20644807,22024100,21162387,21236440,21178971,21165711,21384640
18700,"Corvallis, OR (Metropolitan Statistical Area)",2637903,2687380,2749141,2879332,3036739,3363625,3635213,3777550,3700797,3805535,3969651,3946972,3960024,4062396,4215045,4347188,4484532,4705402
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",8708402,9463829,10359968,11371549,12194858,11856870,11652341,11208498,10747124,10646812,10739629,11282175,11453442,11509346,11827807,12112407,12622410,13028784
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3169391,3198761,3168056,3187831,3231954,3414887,3396369,3437633,3426935,3645135,3669663,3577778,3569350,3494854,3528765,3560392,3562958,3573987
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",278034378,284845245,287843450,302750371,317491618,335708982,349534310,356635869,345708429,351672601,362930984,375286232,386681388,404622644,425323274,436717395,451414779,468918434
19140,"Dalton, GA (Metropolitan Statistical Area)",5681068,5927265,6056097,6851656,7165120,7126031,7142339,6735793,6119965,5811514,5861660,6000774,6020480,6206210,6421103,6732027,6823387,6856016
19180,"Danville, IL (Metropolitan Statistical Area)",2804349,2884675,2975138,3064125,2998181,3215797,3178323,3159392,3007537,3105132,3124018,3182462,3221183,3292122,3180311,3214461,3196706,3285723
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",3929753,4154915,4352352,4772559,5257742,5296563,5283689,4997036,4693291,4843331,4887545,5016735,5136425,5178584,5345363,5496105,5525882,5774289
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",16838187,16681995,17167445,18055407,18374223,18729453,19138739,19436939,18626849,19110819,19811996,20357070,19966778,20100564,20265104,20113727,20339874,20546922
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",35369766,36417417,36968207,37963400,38147110,38097622,37027253,36237339,34166468,34885290,35974194,35871599,36256763,36711850,36976537,37279694,37959200,38696669
19460,"Decatur, AL (Metropolitan Statistical Area)",4819598,4799123,5143569,5739416,5376280,5559070,5703037,5537231,5394840,5397013,5285220,5312753,5307877,5297445,5220216,5324662,5342321,5541306
19500,"Decatur, IL (Metropolitan Statistical Area)",5566661,5533837,5543778,5678367,5790882,6006441,6216681,6626644,6589749,6767191,6756625,6546140,6523538,6543378,6554747,6405913,6238665,6523486
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",13058872,14099738,15405983,16411469,17076899,18094496,18211035,17376210,16186825,16038219,15904882,15984228,16075794,16297329,16807629,17511511,18091856,18605256
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",136117138,136177175,136298910,136123564,141185071,142502925,147895210,147721520,143417826,145800061,148733648,152873532,159346539,166771650,175076489,179631781,187126660,193965928
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",28507657,28946212,31432026,34341388,36771606,35601256,39114874,35154985,34275281,34990053,34922844,37455455,35716360,40301568,43066102,44212889,43692327,44481448
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",220452238,225265918,230033047,228787828,232862909,224387462,222776109,208384341,184974984,197274436,205487945,212159700,215851242,219559892,224508971,230047866,233241705,238679503
20020,"Dothan, AL (Metropolitan Statistical Area)",4568022,4825678,4866945,5009427,5105747,5245642,5241212,5088232,4882270,4917549,4919599,5001045,5087165,4999381,5007417,5042566,5055797,5196491
20100,"Dover, DE (Metropolitan Statistical Area)",5999121,6177899,6168695,6609479,6572926,6848712,6898152,6823485,6968086,6812713,6787229,6524166,6398135,6430286,6585361,6654062,6621713,6700040
20220,"Dubuque, IA (Metropolitan Statistical Area)",3593402,3781963,3943983,4377014,4660117,4764897,5000251,4620877,4320595,4594294,4667023,5134974,4901469,5072109,5185679,5073477,5120001,5194130
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",11156359,11532375,11663775,12099927,12179374,12385211,12347113,12653536,12013003,13275463,13746076,13189296,13867298,13913989,12585002,13308590,13587347,14265083
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",27595895,28764224,30111580,30609060,32624200,39057891,41610360,42530697,41209336,44130089,44307947,43851036,45949444,46076045,46232027,45952685,46804056,48385378
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",4638430,4765531,4730264,5078770,5457792,5634798,5994145,6050381,5938053,6093867,5934888,5704473,5591485,5548597,5560621,5688610,5529321,5673380
20740,"Eau Claire, WI (Metropolitan Statistical Area)",5287942,5565467,5809411,6083129,6430704,6638036,6848566,6701510,6673964,7054355,7144946,7233065,7192256,7829501,8088916,8103632,8260745,8483264
20940,"El Centro, CA (Metropolitan Statistical Area)",5055805,6136678,5715208,5558696,6081784,6692936,6535511,7470507,7127839,7005345,7295927,6900001,7116779,7049259,7759415,8016694,8189014,8038068
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",4140703,4178889,4332508,4502857,4623463,4887175,4858426,5067678,5021632,5640540,5956950,5678216,5574728,5396726,5214920,5243980,5349500,5394199
